stock_name,stock_start_date,stock_end_date,total_days,buy_signal,sell_signal,last_buy_sell_date,total_profit_loss,initial_price,final_price,total_difference_stock
RELIANCE.NS,1996-01-01 00:00:00+05:30,2024-10-23 00:00:00+05:30,10523,False,True,2024-07-23 00:00:00+05:30,22359.21356468003,9.270977020263672,2677.050048828125,2667.7790718078613
LT.NS,2002-07-01 00:00:00+05:30,2024-10-24 00:00:00+05:30,8151,False,True,2024-10-03 00:00:00+05:30,32765.02954120498,30.374677658081055,3436.0,3405.625322341919
ABB.NS,2002-07-01 00:00:00+05:30,2024-10-24 00:00:00+05:30,8151,False,True,2024-10-24 00:00:00+05:30,71606.04307654485,7.376017093658447,7668.0,7660.623982906342
AMBER.NS,2018-01-30 00:00:00+05:30,2024-10-24 00:00:00+05:30,2459,True,False,2024-09-23 00:00:00+05:30,8906.951498776423,1241.516845703125,7114.60009765625,5873.083251953125
INFY.NS,1996-01-01 00:00:00+05:30,2024-10-23 00:00:00+05:30,10523,False,True,2024-10-01 00:00:00+05:30,71609.80412207973,0.5220772624015808,1873.4000244140625,1872.877947151661
TCS.NS,2002-08-12 00:00:00+05:30,2024-10-24 00:00:00+05:30,8109,False,True,2024-09-19 00:00:00+05:30,13742.297550368086,28.270572662353516,4050.0,4021.7294273376465
