stock_name,stock_start_date,stock_end_date,total_days,buy_signal,sell_signal,last_buy_sell_date,actual_buy_date,actual_sell_date,total_profit_loss,initial_price,final_price,total_difference_stock
RELIANCE.NS,1996-01-01 00:00:00+05:30,2024-10-23 00:00:00+05:30,10523,False,True,2024-07-23 00:00:00+05:30,,2024-07-22 00:00:00+05:30,23794.18589189934,9.270977020263672,2677.050048828125,2667.7790718078613
LT.NS,2002-07-01 00:00:00+05:30,2024-10-24 00:00:00+05:30,8151,False,True,2024-10-03 00:00:00+05:30,,2024-10-01 00:00:00+05:30,32706.999798414283,30.37467384338379,3433.949951171875,3403.575277328491
ABB.NS,2002-07-01 00:00:00+05:30,2024-10-24 00:00:00+05:30,8151,False,True,2024-10-24 00:00:00+05:30,,2024-10-23 00:00:00+05:30,71492.72682020973,7.3760175704956055,7653.0498046875,7645.673787117004
AMBER.NS,2018-01-30 00:00:00+05:30,2024-10-24 00:00:00+05:30,2459,True,False,2024-09-23 00:00:00+05:30,2024-10-01 00:00:00+05:30,,8906.951498776423,1241.516845703125,6993.9501953125,5752.433349609375
INFY.NS,1996-01-01 00:00:00+05:30,2024-10-24 00:00:00+05:30,10524,False,True,2024-10-01 00:00:00+05:30,,2024-09-30 00:00:00+05:30,72005.74812090659,0.5220770239830017,1868.5999755859375,1868.0778985619545
TCS.NS,2002-08-12 00:00:00+05:30,2024-10-24 00:00:00+05:30,8109,False,True,2024-09-19 00:00:00+05:30,,2024-09-18 00:00:00+05:30,13742.290569145061,28.27058219909668,4055.14990234375,4026.8793201446533
